Mes,Qtd_Pedidos,Faturamento_Total,Ticket_Medio,Maior_Venda,Menor_Venda
2015-01,126,30093.27,238.84,1813.16,30.29
2015-02,289,69886.74,241.82,1398.27,26.6
2015-03,191,49906.46,261.29,1943.56,27.61
2015-04,171,45570.2,266.49,2125.75,31.93
2015-05,172,35869.3,208.54,1125.96,28.9
2015-06,187,53019.6,283.53,2317.6,24.62
2015-07,125,36397.75,291.18,1198.19,25.46
2015-08,127,34727.47,273.44,1592.05,22.82
2015-09,181,43797.3,241.97,1802.68,24.73
2015-10,185,35590.17,192.38,850.73,25.47
2015-11,191,52215.11,273.38,2439.65,24.59
2015-12,259,56620.22,218.61,1584.16,31.4
2016-01,171,39899.49,233.33,1432.55,31.45
2016-02,309,79965.93,258.79,2364.75,23.49
2016-03,164,42455.17,258.87,1827.08,30.67
2016-04,160,40199.76,251.25,1938.15,22.72
2016-05,176,46009.89,261.42,1867.7,32.03
2016-06,209,46203.25,221.07,1713.76,27.04
2016-07,129,29329.41,227.36,984.44,30.04
2016-08,130,28681.35,220.63,1274.32,30.02
2016-09,180,46093.47,256.07,1710.85,30.69
2016-10,196,49592.93,253.03,1848.88,26.42
2016-11,211,52089.12,246.87,1246.17,27.93
2016-12,286,69247.21,242.12,1424.04,25.58
2017-01,105,24437.92,232.74,1051.11,32.26
2017-02,259,58123.5,224.42,1660.52,32.63
2017-03,157,36110.16,230.0,1825.75,25.61
2017-04,209,52990.59,253.54,1946.05,29.98
2017-05,167,38389.9,229.88,1598.13,28.91
2017-06,208,51388.28,247.06,1442.92,32.19
2017-07,155,38606.85,249.08,2042.6,28.44
2017-08,160,38891.68,243.07,1560.88,26.39
2017-09,172,42958.74,249.76,1300.96,31.83
2017-10,178,43177.37,242.57,1275.65,25.92
2017-11,178,46438.09,260.89,1590.32,26.65
2017-12,261,63364.96,242.78,1456.62,23.44
2018-01,133,30822.8,231.75,1192.05,30.59
2018-02,270,74941.29,277.56,1963.52,30.09
2018-03,195,48963.95,251.1,1968.6,22.67
2018-04,170,40443.77,237.9,2404.55,30.01
2018-05,176,42621.55,242.17,1911.85,23.21
2018-06,190,46289.25,243.63,1293.04,31.67
2018-07,122,33028.39,270.72,2476.75,31.12
2018-08,133,31715.08,238.46,1257.28,28.23
2018-09,170,37423.06,220.14,1469.95,30.6
2018-10,185,39551.27,213.79,1137.87,31.2
