Mes_Referencia,Clientes_Mes_Atual,Clientes_Retidos,Taxa_Retencao_Pct
2015-01,112,38,33.9
2015-02,232,59,25.4
2015-03,160,47,29.4
2015-04,145,39,26.9
2015-05,152,44,28.9
2015-06,161,25,15.5
2015-07,113,16,14.2
2015-08,114,29,25.4
2015-09,159,45,28.3
2015-10,162,36,22.2
2015-11,170,51,30.0
2015-12,211,39,18.5
2016-01,146,55,37.7
2016-02,245,49,20.0
2016-03,148,30,20.3
2016-04,144,25,17.4
2016-05,151,45,29.8
2016-06,183,37,20.2
2016-07,118,24,20.3
2016-08,114,27,23.7
2016-09,161,38,23.6
2016-10,174,52,29.9
2016-11,174,57,32.8
2016-12,233,45,19.3
2017-01,96,35,36.5
2017-02,216,44,20.4
2017-03,141,41,29.1
2017-04,181,33,18.2
2017-05,146,35,24.0
2017-06,180,29,16.1
2017-07,129,29,22.5
2017-08,141,33,23.4
2017-09,151,35,23.2
2017-10,152,40,26.3
2017-11,157,48,30.6
2017-12,210,33,15.7
2018-01,122,40,32.8
2018-02,216,58,26.9
2018-03,173,38,22.0
2018-04,149,38,25.5
2018-05,154,36,23.4
2018-06,167,23,13.8
2018-07,103,17,16.5
2018-08,121,27,22.3
2018-09,157,35,22.3
2018-10,162,37,22.8
2018-11,164,50,30.5
2018-12,218,44,20.2
2019-01,118,38,32.2
2019-02,233,50,21.5
2019-03,155,29,18.7
2019-04,126,30,23.8
2019-05,164,34,20.7
2019-06,154,29,18.8
2019-07,122,27,22.1
2019-08,127,22,17.3
2019-09,150,51,34.0
2019-10,150,46,30.7
2019-11,157,62,39.5
2019-12,213,27,12.7
2020-01,104,41,39.4
2020-02,256,54,21.1
2020-03,152,32,21.1
2020-04,145,33,22.8
2020-05,158,47,29.7
2020-06,166,37,22.3
2020-07,140,21,15.0
2020-08,133,35,26.3
2020-09,155,38,24.5
2020-10,153,41,26.8
2020-11,176,63,35.8
2020-12,203,34,16.7
2021-01,118,44,37.3
2021-02,216,51,23.6
2021-03,147,32,21.8
2021-04,146,38,26.0
2021-05,150,33,22.0
2021-06,180,33,18.3
2021-07,127,25,19.7
2021-08,130,32,24.6
2021-09,143,41,28.7
2021-10,164,44,26.8
2021-11,167,50,29.9
2021-12,202,33,16.3
2022-01,112,40,35.7
2022-02,240,55,22.9
2022-03,146,25,17.1
2022-04,127,25,19.7
2022-05,156,37,23.7
2022-06,170,33,19.4
2022-07,127,20,15.7
2022-08,113,33,29.2
2022-09,154,40,26.0
2022-10,160,32,20.0
2022-11,156,53,34.0
2022-12,232,46,19.8
2023-01,123,49,39.8
2023-02,232,40,17.2
2023-03,146,28,19.2
2023-04,151,26,17.2
2023-05,135,36,26.7
2023-06,182,35,19.2
2023-07,125,31,24.8
2023-08,134,21,15.7
2023-09,140,23,16.4
2023-10,151,40,26.5
2023-11,149,42,28.2
2023-12,233,32,13.7
2024-01,124,51,41.1
2024-02,243,64,26.3
2024-03,165,38,23.0
2024-04,148,41,27.7
2024-05,162,48,29.6
2024-06,189,36,19.0
2024-07,124,23,18.5
2024-08,141,35,24.8
2024-09,156,43,27.6
2024-10,169,38,22.5
2024-11,152,41,27.0
2024-12,215,41,19.1
2025-01,117,42,35.9
2025-02,233,41,17.6
2025-03,150,32,21.3
2025-04,154,40,26.0
2025-05,151,49,32.5
2025-06,175,30,17.1
2025-07,118,22,18.6
2025-08,119,24,20.2
2025-09,144,30,20.8
2025-10,154,39,25.3
2025-11,175,47,26.9
2025-12,193,33,17.1
2026-01,130,50,38.5
2026-02,235,61,26.0
2026-03,166,22,13.3
2026-04,126,29,23.0
2026-05,149,38,25.5
2026-06,161,28,17.4
2026-07,117,24,20.5
2026-08,132,24,18.2
2026-09,142,33,23.2
2026-10,190,47,24.7
2026-11,180,54,30.0
2026-12,196,44,22.4
