AnoMes,Faturamento,Media_Movel_3M,Faturamento_Acumulado
2015-01,30093.27,30093.27,30093.27
2015-02,69886.74,49990.01,99980.01
2015-03,49906.46,49962.16,149886.47
2015-04,45570.2,55121.13,195456.67
2015-05,35869.3,43781.99,231325.97
2015-06,53019.6,44819.7,284345.57
2015-07,36397.75,41762.22,320743.32
2015-08,34727.47,41381.61,355470.79
2015-09,43797.3,38307.51,399268.09
2015-10,35590.17,38038.31,434858.26
2015-11,52215.11,43867.53,487073.37
2015-12,56620.22,48141.83,543693.59
2016-01,39899.49,49578.27,583593.08
2016-02,79965.93,58828.55,663559.01
2016-03,42455.17,54106.86,706014.18
2016-04,40199.76,54206.95,746213.94
2016-05,46009.89,42888.27,792223.83
2016-06,46203.25,44137.63,838427.08
2016-07,29329.41,40514.18,867756.49
2016-08,28681.35,34738.0,896437.84
2016-09,46093.47,34701.41,942531.31
2016-10,49592.93,41455.92,992124.24
2016-11,52089.12,49258.51,1044213.36
2016-12,69247.21,56976.42,1113460.57
2017-01,24437.92,48591.42,1137898.49
2017-02,58123.5,50602.88,1196021.99
2017-03,36110.16,39557.19,1232132.15
2017-04,52990.59,49074.75,1285122.74
2017-05,38389.9,42496.88,1323512.64
2017-06,51388.28,47589.59,1374900.92
2017-07,38606.85,42795.01,1413507.77
2017-08,38891.68,42962.27,1452399.45
2017-09,42958.74,40152.42,1495358.19
2017-10,43177.37,41675.93,1538535.56
2017-11,46438.09,44191.4,1584973.65
2017-12,63364.96,50993.47,1648338.61
2018-01,30822.8,46875.28,1679161.41
2018-02,74941.29,56376.35,1754102.7
2018-03,48963.95,51576.01,1803066.65
2018-04,40443.77,54783.0,1843510.42
2018-05,42621.55,44009.76,1886131.97
2018-06,46289.25,43118.19,1932421.22
2018-07,33028.39,40646.4,1965449.61
2018-08,31715.08,37010.91,1997164.69
2018-09,37423.06,34055.51,2034587.75
2018-10,39551.27,36229.8,2074139.02
2018-11,51447.05,42807.13,2125586.07
2018-12,59078.25,50025.52,2184664.32
2019-01,29994.83,46840.04,2214659.15
2019-02,69114.73,52729.27,2283773.88
2019-03,38237.65,45782.4,2322011.53
2019-04,32811.48,46721.29,2354823.01
2019-05,48249.07,39766.07,2403072.08
2019-06,48939.92,43333.49,2452012.0
2019-07,28393.5,41860.83,2480405.5
2019-08,32974.06,36769.16,2513379.56
2019-09,40170.04,33845.87,2553549.6
2019-10,45204.23,39449.44,2598753.83
2019-11,44437.02,43270.43,2643190.85
2019-12,61415.69,50352.31,2704606.54
2020-01,31023.48,45625.4,2735630.02
2020-02,75692.47,56043.88,2811322.49
2020-03,40993.66,49236.54,2852316.15
2020-04,40803.51,52496.55,2893119.66
2020-05,41899.87,41232.35,2935019.53
2020-06,43632.63,42112.0,2978652.16
2020-07,46517.11,44016.54,3025169.27
2020-08,39422.96,43190.9,3064592.23
2020-09,41230.68,42390.25,3105822.91
2020-10,36859.23,39170.96,3142682.14
2020-11,60011.96,46033.96,3202694.1
2020-12,58191.72,51687.64,3260885.82
2021-01,30436.25,49546.64,3291322.07
2021-02,64452.0,51026.66,3355774.07
2021-03,39623.77,44837.34,3395397.84
2021-04,41016.61,48364.13,3436414.45
2021-05,40086.06,40242.15,3476500.51
2021-06,51644.03,44248.9,3528144.54
2021-07,39163.45,43631.18,3567307.99
2021-08,33918.39,41575.29,3601226.38
2021-09,34154.68,35745.51,3635381.06
2021-10,44466.96,37513.34,3679848.02
2021-11,49167.44,42596.36,3729015.46
2021-12,59739.95,51124.78,3788755.41
2022-01,29289.23,46065.54,3818044.64
2022-02,70453.27,53160.82,3888497.91
2022-03,41497.55,47080.02,3929995.46
2022-04,36601.82,49517.55,3966597.28
2022-05,45901.95,41333.77,4012499.23
2022-06,44531.91,42345.23,4057031.14
2022-07,31337.36,40590.41,4088368.5
2022-08,33807.87,36559.05,4122176.37
2022-09,44582.38,36575.87,4166758.75
2022-10,39201.61,39197.29,4205960.36
2022-11,37980.69,40588.23,4243941.05
2022-12,62769.34,46650.55,4306710.39
2023-01,35123.79,45291.27,4341834.18
2023-02,65097.15,54330.09,4406931.33
2023-03,36477.81,45566.25,4443409.14
2023-04,47340.74,49638.57,4490749.88
2023-05,39695.62,41171.39,4530445.5
2023-06,51269.01,46101.79,4581714.51
2023-07,32476.32,41146.98,4614190.83
2023-08,33654.7,39133.34,4647845.53
2023-09,33470.53,33200.52,4681316.06
2023-10,47287.76,38137.66,4728603.82
2023-11,48500.74,43086.34,4777104.56
2023-12,70694.21,55494.24,4847798.77
2024-01,32593.15,50596.03,4880391.92
2024-02,73536.55,58941.3,4953928.47
2024-03,44993.17,50374.29,4998921.64
2024-04,42733.17,53754.3,5041654.81
2024-05,42965.65,43564.0,5084620.46
2024-06,51523.38,45740.73,5136143.84
2024-07,37600.77,44029.93,5173744.61
2024-08,36051.68,41725.28,5209796.29
2024-09,47212.73,40288.39,5257009.02
2024-10,43059.34,42107.92,5300068.36
2024-11,42750.93,44341.0,5342819.29
2024-12,66172.77,50661.01,5408992.06
2025-01,31538.9,46820.87,5440530.96
2025-02,81196.81,59636.16,5521727.77
2025-03,38731.38,50489.03,5560459.15
2025-04,46073.58,55333.92,5606532.73
2025-05,40737.1,41847.35,5647269.83
2025-06,47150.57,44653.75,5694420.4
2025-07,34286.36,40724.68,5728706.76
2025-08,33534.75,38323.89,5762241.51
2025-09,39031.24,35617.45,5801272.75
2025-10,40880.49,37815.49,5842153.24
2025-11,49063.84,42991.86,5891217.08
2025-12,60792.98,50245.77,5952010.06
2026-01,35002.84,48286.55,5987012.9
2026-02,73287.09,56360.97,6060299.99
2026-03,48040.22,52110.05,6108340.21
2026-04,32168.89,51165.4,6140509.1
2026-05,37737.79,39315.63,6178246.89
2026-06,44558.99,38155.22,6222805.88
2026-07,34684.29,38993.69,6257490.17
2026-08,42160.33,40467.87,6299650.5
2026-09,39442.82,38762.48,6339093.32
2026-10,61822.36,47808.5,6400915.68
2026-11,53993.68,51752.95,6454909.36
2026-12,58507.18,58107.74,6513416.54
